age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit
39,technician,married,secondary,no,1756,yes,no,cellular,79,1,-1,0,unknown,no
51,management,married,tertiary,no,1443,yes,no,cellular,180,1,-1,0,unknown,no
36,admin.,married,tertiary,no,436,yes,yes,cellular,11,1,-1,0,unknown,no
25,services,single,secondary,no,347,yes,no,cellular,274,2,-1,0,unknown,no
38,management,divorced,tertiary,no,2590,yes,no,cellular,310,1,-1,0,unknown,no
42,management,married,tertiary,no,4789,yes,yes,cellular,12,1,-1,0,unknown,no
58,management,married,tertiary,no,4308,yes,no,cellular,55,1,-1,0,unknown,no
43,technician,single,secondary,no,249,yes,no,cellular,131,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,2513,yes,yes,cellular,98,1,-1,0,unknown,no
43,services,married,primary,no,-564,yes,no,cellular,383,1,-1,0,unknown,no
39,admin.,married,secondary,no,622,no,no,cellular,166,1,-1,0,unknown,no
43,services,married,secondary,no,162,yes,no,cellular,229,1,-1,0,unknown,no
46,management,single,tertiary,no,3493,yes,no,cellular,139,1,-1,0,unknown,no
33,services,married,secondary,no,767,yes,no,cellular,226,2,-1,0,unknown,no
35,management,single,tertiary,no,1154,no,no,cellular,135,1,-1,0,unknown,no
28,management,single,tertiary,no,1074,yes,no,cellular,329,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,cellular,158,2,-1,0,unknown,no
58,retired,married,primary,no,2685,yes,no,cellular,158,1,-1,0,unknown,no
43,technician,single,secondary,no,1162,no,no,cellular,370,1,-1,0,unknown,no
41,admin.,divorced,secondary,no,676,yes,no,cellular,473,1,-1,0,unknown,no
29,admin.,single,secondary,no,9,yes,no,cellular,191,1,-1,0,unknown,no
53,technician,married,secondary,no,2306,yes,no,cellular,216,1,-1,0,unknown,no
58,technician,married,secondary,no,1687,yes,no,cellular,206,1,-1,0,unknown,no
57,services,married,secondary,no,4442,yes,no,cellular,55,1,-1,0,unknown,no
40,admin.,married,secondary,no,1585,yes,no,cellular,383,1,-1,0,unknown,no
32,blue-collar,single,primary,no,1175,yes,no,cellular,384,2,-1,0,unknown,no
25,services,married,secondary,no,346,yes,yes,cellular,191,1,-1,0,unknown,no
43,services,married,primary,no,1225,yes,no,cellular,155,1,-1,0,unknown,no
56,technician,married,secondary,no,4736,yes,no,cellular,42,1,-1,0,unknown,no
30,technician,single,secondary,no,306,yes,no,cellular,374,1,-1,0,unknown,no
29,technician,single,secondary,no,1239,yes,no,cellular,137,1,-1,0,unknown,no
46,housemaid,married,primary,no,2755,yes,no,cellular,204,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,1708,yes,no,cellular,236,1,-1,0,unknown,no
35,management,married,tertiary,no,231,yes,no,cellular,141,1,-1,0,unknown,no
32,blue-collar,single,primary,no,1028,yes,no,cellular,218,1,-1,0,unknown,no
30,management,married,tertiary,no,2077,yes,no,cellular,107,1,-1,0,unknown,no
57,blue-collar,married,primary,no,744,yes,no,cellular,124,1,-1,0,unknown,no
37,entrepreneur,married,secondary,no,1893,yes,no,cellular,306,1,-1,0,unknown,no
28,blue-collar,single,primary,no,1506,yes,no,cellular,350,1,-1,0,unknown,no
39,services,married,secondary,no,49,yes,no,cellular,12,1,-1,0,unknown,no
54,blue-collar,married,primary,no,1275,yes,no,cellular,77,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,1993,yes,no,cellular,172,1,-1,0,unknown,no
26,admin.,single,secondary,no,170,yes,no,cellular,186,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,503,yes,no,cellular,886,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,2317,yes,no,cellular,371,1,-1,0,unknown,no
44,entrepreneur,married,secondary,no,1587,yes,no,cellular,471,1,-1,0,unknown,no
31,technician,single,secondary,no,1270,yes,no,cellular,283,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,1775,yes,no,cellular,32,1,-1,0,unknown,no
39,management,single,tertiary,no,1678,yes,no,cellular,144,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,1199,yes,no,cellular,9,1,-1,0,unknown,no
30,services,divorced,secondary,no,1615,yes,yes,cellular,653,1,-1,0,unknown,yes
38,management,married,tertiary,no,113,yes,no,cellular,217,4,-1,0,unknown,yes
35,management,single,tertiary,no,581,yes,no,cellular,961,1,-1,0,unknown,yes
30,management,married,tertiary,no,390,yes,no,cellular,200,1,-1,0,unknown,yes
59,blue-collar,married,secondary,no,2343,yes,no,cellular,226,1,-1,0,unknown,yes
35,management,single,tertiary,no,747,no,no,cellular,146,1,-1,0,unknown,yes
36,self-employed,married,tertiary,no,307,yes,no,cellular,223,1,-1,0,unknown,yes
39,technician,married,secondary,no,147,yes,no,cellular,379,1,-1,0,unknown,yes
41,entrepreneur,married,tertiary,no,221,yes,no,cellular,54,1,-1,0,unknown,yes
30,admin.,divorced,secondary,no,107,yes,no,cellular,227,1,-1,0,unknown,yes
58,management,married,tertiary,no,4042,yes,no,cellular,375,1,-1,0,unknown,yes
35,management,married,tertiary,no,1569,yes,no,cellular,231,1,-1,0,unknown,yes
52,self-employed,married,tertiary,no,825,yes,no,cellular,217,1,-1,0,unknown,yes
38,technician,single,secondary,no,608,yes,no,cellular,355,1,-1,0,unknown,yes
58,retired,married,primary,no,2651,no,no,cellular,84,1,-1,0,unknown,yes
44,admin.,married,secondary,no,2442,yes,no,cellular,211,1,-1,0,unknown,yes
44,entrepreneur,single,secondary,no,2389,yes,no,cellular,266,1,-1,0,unknown,yes
26,housemaid,married,secondary,no,289,yes,no,cellular,180,1,-1,0,unknown,yes
39,blue-collar,married,secondary,no,199,yes,no,cellular,180,1,-1,0,unknown,yes
51,entrepreneur,married,primary,no,1373,yes,no,cellular,65,1,-1,0,unknown,yes
45,admin.,single,secondary,no,1120,yes,no,cellular,241,1,-1,0,unknown,yes
57,housemaid,married,primary,no,863,no,no,cellular,49,1,-1,0,unknown,yes
60,retired,married,primary,no,735,no,no,cellular,180,1,-1,0,unknown,yes
33,services,married,secondary,no,0,yes,no,cellular,143,2,-1,0,unknown,yes
28,blue-collar,single,secondary,no,723,yes,no,cellular,96,1,-1,0,unknown,yes
56,management,married,tertiary,no,2671,yes,no,cellular,253,1,-1,0,unknown,yes
32,blue-collar,single,primary,no,611,yes,no,cellular,193,1,-1,0,unknown,yes
25,services,single,secondary,no,385,yes,no,cellular,95,1,-1,0,unknown,yes
40,retired,married,primary,no,581,yes,no,cellular,176,1,-1,0,unknown,yes
44,admin.,married,secondary,no,431,yes,yes,cellular,249,2,-1,0,unknown,yes
