head_size,brain_weight
4512,1530
3738,1297
4261,1335
3777,1282
4177,1590
3585,1300
3785,1400
3559,1255
3613,1355
3982,1375
3443,1340
3993,1380
4897,1647
4512,1504
4802,1471
5751,1729
4232,1627
4116,1311
4817,1997
4674,1401
4602,1432
4730,1524
5282,1851
4307,1595
3716,1113
3634,1188
4828,1634
4584,1513
4508,1500
4340,1191
4716,1593
4940,1650
5335,1878
5147,1823
5133,1710
3861,1306
4967,1648
4725,1594
5243,1791
5109,1759
5373,1875
4842,1635
5566,1892
5808,1945
5135,1773
5300,1823
5431,1840
5303,1827
5468,1857
5436,1844
4865,1573
5050,1720
4770,1556
4878,1574
5150,1750
4740,1558
5395,1845
5375,1874
5110,1740
5510,1890
5535,1901
5750,1926
5100,1719
5505,1883
5484,1877
5880,1970
5260,1810
5400,1858
5388,1847
5665,1900
5510,1888
4620,1450
4235,1315
4485,1515
4480,1510
4800,1600
4600,1460
4900,1655
5000,1700
5100,1750
5200,1800
4350,1350
4400,1380
4550,1490
4650,1520
4750,1580
4850,1620
4950,1680
5050,1740
5150,1790
5250,1820
4300,1320
4500,1500
4700,1560
4880,1630
5080,1730
5280,1815
3950,1290
4050,1340
4150,1390
4250,1440
4700,1570
4800,1610
4900,1660
5000,1710
5100,1760
5200,1810
4000,1300
4100,1350
4200,1400
4300,1450
4400,1500
4500,1550
4600,1600
4700,1650
4800,1700
4900,1750
5000,1800
5100,1850
5200,1900
3800,1250
3900,1300
4000,1350
4100,1400
4200,1450
4300,1500
4400,1550
4500,1600
4600,1650
4700,1700
4800,1750
4900,1800
5000,1850
5100,1900
3700,1200
3750,1225
3850,1275
3950,1325
4050,1375
4150,1425
4250,1475
4350,1525
4450,1575
4550,1625
4650,1675
4750,1725
4850,1775
4950,1825
5050,1875
5150,1925
5250,1975
3600,1150
3650,1175
3800,1250
3900,1300
4000,1350
4100,1400
4200,1450
4300,1500
4400,1550
4500,1600
4600,1650
4700,1700
4800,1750
4900,1800
5000,1850
5100,1900
5200,1950
5300,2000
3500,1100
3550,1125
3700,1200
3800,1275
3900,1325
4000,1375
4100,1425
4200,1475
4300,1525
4400,1575
4500,1625
4600,1675
4700,1725
4800,1775
4900,1825
5000,1875
5100,1925
5200,1975
5300,2025
5400,2075
3450,1075
3525,1112
3675,1187
3775,1262
3875,1312
3975,1362
4075,1412
4175,1462
4275,1512
4375,1562
4475,1612
4575,1662
4675,1712
4775,1762
4875,1812
4975,1862
5075,1912
5175,1962
5275,2012
5375,2062
5475,2112
3400,1050
3475,1087
3625,1162
3725,1237
3825,1287
3925,1337
4025,1387
4125,1437
4225,1487
4325,1537
4425,1587
4525,1637
4625,1687
4725,1737
4825,1787
4925,1837
5025,1887
5125,1937
5225,1987
5325,2037
5425,2087
5525,2137
